Anbieter,Anlagen Name,Technologie,Technologie einfach,Anlagenkennzeichnung BNetzA,Inbetriebnahme,Land,Standort,Bundesland, Eigentümer (Struktur),Betreiber,"Instalierte Leistung (Kw)
(Höchstleistung)",Bezogene Strommenge ,Einheit,Anlage EEG gefördert?
Greenpeace Energy,Alpenrose,Laufwasserkraftwerk,Wasser,,1990,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,150,,,
Greenpeace Energy,Aselkam,Laufwasserkraftwerk,Wasser,,2012,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,220,,,
Greenpeace Energy,Direktionsbrücke,Laufwasserkraftwerk,Wasser,,2012,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,570,,,
Greenpeace Energy,Dorferalm,Laufwasserkraftwerk,Wasser,,2008,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,570,,,
Greenpeace Energy,Feldkirchen,Laufwasserkraftwerk,Wasser,,1970,Deutschland,,Bayern,VERBUND Innkraftwerke GmbH,VERBUND Innkraftwerke GmbH,38200,,,
Greenpeace Energy,Flitzenbach,Laufwasserkraftwerk,Wasser,,2013,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,610,,,
Greenpeace Energy,Fuscher Ache 2,Laufwasserkraftwerk,Wasser,,1970,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,340,,,
Greenpeace Energy,Gaalbach Gaal,Laufwasserkraftwerk,Wasser,,2008,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,375,,,
Greenpeace Energy,Grießbach,Laufwasserkraftwerk,Wasser,,2011,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,260,,,
Greenpeace Energy,Grödig-2 AlmKW Schützenstr.,Laufwasserkraftwerk,Wasser,,2003,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,95,,,
Greenpeace Energy,Hoheneich,Laufwasserkraftwerk,Wasser,,1989,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,117,,,
Greenpeace Energy,Hubalpenbach,Laufwasserkraftwerk,Wasser,,1985,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1800,,,
Greenpeace Energy,Klappacher,Laufwasserkraftwerk,Wasser,,1993,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,155,,,
Greenpeace Energy,Ködnitzbach Oberstufe,Laufwasserkraftwerk,Wasser,,1992,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,213,,,
Greenpeace Energy,Ködnitzbach USt. u. Medlbach,Laufwasserkraftwerk,Wasser,,1998,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,564,,,
Greenpeace Energy,Kristeinbach (Werk 3),Laufwasserkraftwerk,Wasser,,1973,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,2550,,,
Greenpeace Energy,Lenz ,Laufwasserkraftwerk,Wasser,,1990,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,75,,,
Greenpeace Energy,Lorenzerbach II,Laufwasserkraftwerk,Wasser,,2011,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1040,,,
Greenpeace Energy,Märzenbach,Laufwasserkraftwerk,Wasser,,2009,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,2269,,,
Greenpeace Energy,Melk,Laufwasserkraftwerk,Wasser,,1982,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,187000,,,
Greenpeace Energy,Mödringbach,Laufwasserkraftwerk,Wasser,,2012,Österreich,,,Next Kraftwerke GmbH,Next Kraftwerke GmbH,620,,,
Greenpeace Energy,Neubruck,Laufwasserkraftwerk,Wasser,,2010,Österreich,,,Next Kraftwerke GmbH,Next Kraftwerke GmbH,1200,,,
Greenpeace Energy,Oismühle,Laufwasserkraftwerk,Wasser,,2007,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1500,,,
Greenpeace Energy,Reding,Laufwasserkraftwerk,Wasser,,1984,Österreich,,,Next Kraftwerke GmbH,Next Kraftwerke GmbH,320,,,
Greenpeace Energy,Schönbergbach,Laufwasserkraftwerk,Wasser,,2012,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,160,,,
Greenpeace Energy,"Thalerbach (Stufe 1, M1)",Laufwasserkraftwerk,Wasser,,1964,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1100,,,
Greenpeace Energy,Thalerbach (Stufe 2),Laufwasserkraftwerk,Wasser,,2005,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1530,,,
Greenpeace Energy,Thalerbach OSt Fassungsbereich der Stufe 1,Laufwasserkraftwerk,Wasser,,1964,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1080,,,
Greenpeace Energy,Triebentalbach,Laufwasserkraftwerk,Wasser,,2006,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1820,,,
Greenpeace Energy,Turrachbach,Laufwasserkraftwerk,Wasser,,2013,Österreich,,,Next Kraftwerke GmbH,Next Kraftwerke GmbH,1660,,,
Greenpeace Energy,Villach (AHP) 1,Laufwasserkraftwerk,Wasser,,1984,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,24600,,,
