Firmenname,Kennzeichnung Link,Adresse,PLZ,Stadt,URL,RoWo-Kriterien,Kriterium-Websuche,Begründung,Zertifizierung,RoWo-Anbieterprofil
123energie - Eine Marke der Pfalzwerke AG,https://www.123energie.de/service/462.php,Kurfürstenstraße 29,67061.0,Ludwigshafen,https://www.123energie.de,A,A,,OKPower,
17er Oberlandenergie GmbH,https://17er.com/die-17er/service/stromkennzeichnung/,Viehmarktplatz 1,82418.0,Murnau am Staffelsee,https://17er.com,A,A,,,
24/7 Energie und Kommunikation GmbH,https://www.elissa.de/produkte-elissa/elissa-strom.html,Meeboldstraße 1,89522.0,Heidenheim,https://www.stadtwerke-heidenheim.de,A,A,,,
4hundred GmbH,https://www.4hundred.com/stromkennzeichnung/,Herzogspitalstr. 24,80331.0,München,https://www.4hundred.com,XX,XX,,TÜV SÜD,
Abens-Donau Energie GmbH,https://www.abens-donau-energie.de/strom-fuer-privatkunden/,,,,,A,A,,,
Abita Energie Otterberg GmbH,https://www.abita-energie.de/fileadmin/dokumente/Kundeninfo/pdf/Energietraegermix_2017_de.pdf,Bismarckstrasse 14,67655.0,Kaiserslautern,https://www.abita-energie.de,A,A,,,
Agger Energie GmbH,https://www.aggerenergie.de/_Resources/Persistent/b4b78ce18fabca63b979877f74ee3edc6653efa8/Kennzeichnung%20der%20Stromlieferungen%202017.pdf,Alexander-Fleming-Str. 2,51643.0,Gummersbach,https://www.aggerenergie.de,A,A,,,
Ahrtal-Werke GmbH,https://ahrtal-werke.de/service/rechtliches/stromkennzeichnung/,Hauptstraße 116,53474.0,Bad Neuenahr-Ahrweiler,https://ahrtal-werke.de,A,A,,,
Albstadtwerke GmbH,https://www.albstadtwerke.de/fileadmin/media/unserangebot/Strom/ASW_Stromkennzeichnung_2017_quer_291018.pdf,Goethestraße 91,72461.0,Albstadt,https://www.albstadtwerke.de,A,A,,,
Albwerk GmbH & Co. KG,https://www.albwerk.de/service/allgemeine-informationen/stromkennzeichnung/,Eybstr. 98-100,73312.0,Geislingen an der Steige,https://www.albwerk.de,A,A,,,
