Anbieter,Anlagen Name,Technologie,Technologie einfach,Anlagenkennzeichnung,Inbetriebnahme,Land,Standort,Bundesland,Eigentümer (Struktur),Betreiber,Instalierte Leistung (Kw) (Höchstleistung),Liefermenge 2018 in MWh,Einheit,Anlage EEG gefördert?
EWS Schönau,Braskereidfoss  ,Laufwasserkraftwerk,Wasser,_707052300010012170,2016,,Våler kommune; Hedmark,,Im Besitz von Eidsiva Energi AS; im Besitz von Hedmark Fylkeskraft AS und weiteren Unternehmen; mit rund 20 Kommunen,Eidsiva vannkraft,36000.0,14877,,
EWS Schönau,Døvikfoss Kraftstasjon ,Laufwasserkraftwerk,Wasser,_707052300010004281,2015,,Modum kommune; Bruskerud,,Glitre Energi= Vardar AS; Drammen Kommune,Ecohz,16800.0,3203,,
EWS Schönau,Harpefossen  ,Laufwasserkraftwerk,Wasser,_707052300010012002,1965,,Sør-Fron kommune; Oppland,,Opplandskraft DA (Akershus Energi besitzt 25 Prozent der Opplandskraft DA),Ecohz,92000.0,7029,,
EWS Schönau,Holsen  ,Laufwasserkraftwerk,Wasser,_707052300010019933,2017,,Holsavatnet,,Hauptaktioär: Lundeberg AS; die wiederum:  Msf Consulting AS ; Abs Consulting AS ; Infotechconsult AS, Nordic Green Power,8600.0,9841,,
EWS Schönau,Kverninga  ,Laufwasserkraftwerk,Wasser,_707052300010017700,2013,,Rendalen kommune; Hedmark,,Aktionäre: Knut Erlend Hagen; Jørn Heiberg,Kverninga Kraftverk AS,2800.0,6170,,
EWS Schönau,Løpet  ,Laufwasserkraftwerk,Wasser,_707052300010012248,2013,,Åmot kommune; Hedmark,,Eidsiva vannkraft AS / Hauptaktionär: Eidsiva Energi AS / Hauptaktionär: Hedmark Fylkeskraft AS,Ecohz,29000.0,10048,,
EWS Schönau,Mykstufoss  ,Laufwasserkraftwerk,Wasser,_707052300010010282,2013,,Gemeinde Rollag; Buskerud,,EB Kraftproduksjon AS /// Glitre Energi (70%); E-CO Energi (30%) ///  Glitre Energi= Vardar AS; Drammen Kommune,Ecohz,48000.0,7835,,
EWS Schönau,Øverdal  ,Laufwasserkraftwerk,Wasser,_707052300010016871,2012,,Roan kommune; Sør-Trøndelag,,Øverdal Kraftverk AS: diverse private Personen / Single purpose company owned by local farmers/landowners operating one small scale hydro power plant,Øverdal Kraftverk AS (Registrant: ECOHZ AS),500.0,2445,,
EWS Schönau,Rendalen  ,Laufwasserkraftwerk,Wasser,_707052300010012026,2013,,Rendalen; 2485 Rendalen; Norwegen,,Opplandskraft DA ein Joint Venture von E-CO Energi AS (Anteil 25%);  Oppland Energi AS der Tochtergesellschaft von E-CO Energi AS (Anteil 25%); Eidsiva Vannkraft AS (Anteil 25 %) und Akershus Energi AS (Anteil 25 %)  Opplandkraft DA: Industrigata 45; 2619 Lillehammer; Norwegen E-CO Energie AS: C. J. Hambros plass 2C; Oslo Oppland Energi AS: Industrigt. 45; Lillehammer Eidsiva Vannkraft AS: Industrigata 45; 2619 Lillehammer Akershus Energi AS: Pausvegen 6; 1927 Rånåsfoss; Norwegen,Opplandskraft DA (Registrant: ECOHZ AS),100500.0,42120,,
EWS Schönau,Solbergfoss  ,Laufwasserkraftwerk,Wasser,_707052300010010138,2015,,Askim kommune; Østfold,,(2/3) E-Co Energi AS > E-Co Energi Holding AS > Oslo Kommune; (1/3) Statkraft,E-Co Energi AS,208000.0,14,,
EWS Schönau,Usma  ,Laufwasserkraftwerk,Wasser,_707052300010017304,2013,,Selbu kommune; Trøndelag,,TrønderEnergi / Hauptaktionär: Melhus Kommune,Ecohz,9980.0,15973,,
