Firmenname,Adresse,PLZ,Stadt,URL,RoWo-Kriterien,Begründung,Zertifizierung,Bemerkung
123energie - Eine Marke der Pfalzwerke AG,Kurfürstenstraße 29,67061,Ludwigshafen,https://www.123energie.de,A,,OKPower,
17er Oberlandenergie GmbH,Viehmarktplatz 1,82418,Murnau am Staffelsee,https://17er.com,A,,,
24/7 Energie und Kommunikation GmbH,Meeboldstraße 1,89522,Heidenheim,https://www.stadtwerke-heidenheim.de,A,,,
4hundred GmbH,Herzogspitalstr. 24,80331,München,https://www.4hundred.com,XX,,TÜV SÜD,In Zukunft soll es bei uns auch Biogas geben
Abens-Donau Energie GmbH,,,,,A,,,
Abita Energie Otterberg GmbH,Bismarckstrasse 14,67655,Kaiserslautern,https://www.abita-energie.de,A,,,Gehört zu den Stadtwerke Kaiserslautern- vertreibt Energiemix mit Kohe- und Atomstrom (https://www.swk-kl.de/de/geschaeftskunden/produkte-leistungen/strom/energietraegermix.html)
Agger Energie GmbH,Alexander-Fleming-Str. 2,51643,Gummersbach,https://www.aggerenergie.de,A,,,
Ahrtal-Werke GmbH,Hauptstraße 116,53474,Bad Neuenahr-Ahrweiler,https://ahrtal-werke.de,A,,,
Albstadtwerke GmbH,Goethestraße 91,72461,Albstadt,https://www.albstadtwerke.de,A,,,
Albwerk GmbH & Co. KG,Eybstr. 98-100,73312,Geislingen an der Steige,https://www.albwerk.de,A,,,
Allgäuer Kraftwerke GmbH,Am Alten Bahnhof 10,87527,Sonthofen,https://www.allgaeukraft.de,A,,,
Allgäuer Überlandwerk GmbH,Illerstraße 18,87435,Kempten,https://www.auew.de,A,,,
Ammer-Loisach Energie GmbH,Schnitzlergasse 5,82487,Oberammergau,https://www.ammer-loisach-energie.de/,A,,,
Aschaffenburger Versorgungs-GmbH,Werkstraße 2,63739,Aschaffenburg,https://www.stwab.de,A,,,
ASEW Energie und Umwelt Service GmbH & Co. KG,,,,https://www.asew.de/asew,0,ASEW Energie und Umwelt Service GmbH & Co. KG sind nicht in der Marktrolle des Lieferanten und auch nicht Vertragspartner für die Stromlieferung,,
Audax Energie GmbH,,,,,A,,,
AVIA AG,,,,,0,"AVIA ist eine konzernunabhängige Mineralölmarke. Als Dachgesellschaft bündelt die AVIA AG u.a. den Einkauf von Mineralölprodukten, Brennstoffen und Energie für ihre Mitglieder.",,"Die Deutsche AVIA Mineralöl-GmbH, eine führende Tankstellenorganisation in Deutschland"
AVU Aktiengesellschaft für Versorgungs-Unternehmen,An der Drehbank 18,58285,Gevelsberg,https://www.avu.de,A,,,
backnangstrom GmbH & Co. KG,,,,,A,,,
badenova AG & Co. KG,Tullastraße 61,79108,Freiburg,https://www.badenova.de,A,,,
Bad Honnef AG,,,,,A,,,
Bad Lauterberg Energie GmbH,Bahnhofstraße 17-19,37431,Bad Lauterberg im Harz,https://www.badlauterberg-energie.de,A,,,
BarMalGas GmbH,,,,,A,,,
Bauer Elektrounternehmen GmbH & Co.KG,,,,,A,,,
