Firmenname,Erneuerbare Energien 2,Kennzeichnung Link,Adresse,PLZ,Stadt,URL,RoWo-Kriterien,Begründung,Zertifizierung,Bemerkung
123energie - Eine Marke der Pfalzwerke AG,5.80%,https://www.123energie.de/service/462.php,Kurfürstenstraße 29,67061,Ludwigshafen,https://www.123energie.de,A,,OKPower,
17er Oberlandenergie GmbH,0.00%,https://17er.com/die-17er/service/stromkennzeichnung/,Viehmarktplatz 1,82418,Murnau am Staffelsee,https://17er.com,A,,,
24/7 Energie und Kommunikation GmbH,0.00%,https://www.elissa.de/produkte-elissa/elissa-strom.html,Meeboldstraße 1,89522,Heidenheim,https://www.stadtwerke-heidenheim.de,A,,,
4hundred GmbH,100.00%,https://www.4hundred.com/stromkennzeichnung/,Herzogspitalstr. 24,80331,München,https://www.4hundred.com,XX,,TÜV SÜD,In Zukunft soll es bei uns auch Biogas geben
Abens-Donau Energie GmbH,0.21%,https://www.abens-donau-energie.de/strom-fuer-privatkunden/,,,,,A,,,
Abita Energie Otterberg GmbH,0.00%,https://www.abita-energie.de/fileadmin/dokumente/Kundeninfo/pdf/Energietraegermix_2017_de.pdf,Bismarckstrasse 14,67655,Kaiserslautern,https://www.abita-energie.de,A,,,Gehört zu den Stadtwerke Kaiserslautern- vertreibt Energiemix mit Kohe- und Atomstrom (https://www.swk-kl.de/de/geschaeftskunden/produkte-leistungen/strom/energietraegermix.html)
Agger Energie GmbH,1.68%,https://www.aggerenergie.de/_Resources/Persistent/b4b78ce18fabca63b979877f74ee3edc6653efa8/Kennzeichnung%20der%20Stromlieferungen%202017.pdf,Alexander-Fleming-Str. 2,51643,Gummersbach,https://www.aggerenergie.de,A,,,
Ahrtal-Werke GmbH,0.00%,https://ahrtal-werke.de/service/rechtliches/stromkennzeichnung/,Hauptstraße 116,53474,Bad Neuenahr-Ahrweiler,https://ahrtal-werke.de,A,,,
Albstadtwerke GmbH,6.34%,https://www.albstadtwerke.de/fileadmin/media/unserangebot/Strom/ASW_Stromkennzeichnung_2017_quer_291018.pdf,Goethestraße 91,72461,Albstadt,https://www.albstadtwerke.de,A,,,
Albwerk GmbH & Co. KG,29.46%,https://www.albwerk.de/service/allgemeine-informationen/stromkennzeichnung/,Eybstr. 98-100,73312,Geislingen an der Steige,https://www.albwerk.de,A,,,
Allgäuer Kraftwerke GmbH,10.83%,https://www.allgaeukraft.de/stromkennzeichnung.html,Am Alten Bahnhof 10,87527,Sonthofen,https://www.allgaeukraft.de,A,,,
Allgäuer Überlandwerk GmbH,16.51%,https://www.auew.de/privatkunden/kontakt-service/gesetzgebung/stromkennzeichnung/,Illerstraße 18,87435,Kempten,https://www.auew.de,A,,,
Ammer-Loisach Energie GmbH,0.21%,https://www.ammer-loisach-energie.de/unser-strom/strom-fuer-privatkunden/,Schnitzlergasse 5,82487,Oberammergau,https://www.ammer-loisach-energie.de/,A,,,
Aschaffenburger Versorgungs-GmbH,7.64%,http://www.stwab.de/Energie-Wasser/Strom/Stromkennzeichnung/,Werkstraße 2,63739,Aschaffenburg,https://www.stwab.de,A,,,
ASEW Energie und Umwelt Service GmbH & Co. KG,k.A.,,,,,https://www.asew.de/asew,0,ASEW Energie und Umwelt Service GmbH & Co. KG sind nicht in der Marktrolle des Lieferanten und auch nicht Vertragspartner für die Stromlieferung,,
Audax Energie GmbH,0.00%,https://www.audaxenergie.de/?sec=strom,,,,,A,,,
AVIA AG,k.A.,,,,,,0,"AVIA ist eine konzernunabhängige Mineralölmarke. Als Dachgesellschaft bündelt die AVIA AG u.a. den Einkauf von Mineralölprodukten, Brennstoffen und Energie für ihre Mitglieder.",,"Die Deutsche AVIA Mineralöl-GmbH, eine führende Tankstellenorganisation in Deutschland"
AVU Aktiengesellschaft für Versorgungs-Unternehmen,2.46%,https://www.avu.de/downloads/veroeffentlichungspflichten/energietraegermix-2017.pdf,An der Drehbank 18,58285,Gevelsberg,https://www.avu.de,A,,,
backnangstrom GmbH & Co. KG,0.00%,https://www.backnangstrom.de/privatkunden/startseite/,,,,,A,,,
badenova AG & Co. KG,52.22%,https://www.badenova.de/web/Privatkunden/%C3%96kostrom/Informationen-und-Rechtliches/index.jsp,Tullastraße 61,79108,Freiburg,https://www.badenova.de,A,,,
Bad Honnef AG,29.51%,https://www.bhag.de/stromkennzeichnung,,,,,A,,,
Bad Lauterberg Energie GmbH,0.00%,https://www.badlauterberg-energie.de/de/Referenzierter-Inhalt/Referenzierter-Downloads/Stromkennzeichnung-2018.pdf,Bahnhofstraße 17-19,37431,Bad Lauterberg im Harz,https://www.badlauterberg-energie.de,A,,,
BarMalGas GmbH,0.00%,BarMalGas GmbH,,,,,A,,,
Bauer Elektrounternehmen GmbH & Co.KG,0.21%,https://www.bauer-stromkunden.de/kennzeichnung-der-stromlieferung.html,,,,,A,,,
BayWa Ökoenergie GmbH,100.00%,https://www.baywa-oekoenergie.de/fileadmin/media/global/strommix/Strommix_2017_BayWa_Oekoenergie_Stand_Oktober_2018.jpg,Arabellastraße 4,81925,München,https://www.baywa-oekoenergie.de,baywa,"Folgende Kriterien werden nicht erfüllt: ### Es gibt keine direkte eigentumsrechtliche Verflechtung des Ökostrom-Anbieters mit einem Konzern, der Atom- oder Kohlekraftwerke betreibt oder mit Strom aus diesen Quellen handelt. ##
Die BayWa renewable energy GmbH hat Ende 2018 die BayWa r.e. Clean Energy Sourcing GmbH neu erworben. Diese hat, neben Grünstrommengen, auch Graustrom für Großgewerbe- und Industriekunden im Portfolio.
     ## Die Anlagenbetreiber, von denen der Anbieter Strom kauft, investieren nicht neu in Kohle- und Atom. Die Anlagen gehören zu max. 25% Kohle- oder Atomkonzernen.
BayWa bezieht Strom von dem Kraftwerk Dravske elektrarne Maribor d.o.o. (Diese Firma gehört zur Holding Slovenske elektrarne, die auch Kohlekraftwerke in Subfirmen betreibt) ","OK-Power Plus, EcoTopTen",
"BELKAW Bergische Licht-, Kraft- und Wasserwerke GmbH",2.23%,https://www.belkaw.de/de/privatkundenportal/tarife/rechtliches/stromkennzeichnung/index.php,Hermann-Löns-Str. 131-133,51469,Bergisch-Gladbach,https://www.belkaw.de,A,,,
Benergie-Service GmbH,100.00%,https://www.benergie.de/privatkunden/oekostrom,Schlachte 45,28195,Bremen,https://www.benergie.de,R,,TÜV Nord,Genossenschaft mit ÖkoGas angebot
BERGMANN - Elektrizität & Gas - eine Marke der LSW Energie GmbH & Co. KG,15.07%,https://einfach-bergmann.de/downloads/LSW_Stromkennzeichnung_2018-11.pdf,,,,,A,,,
Berliner Stadtwerke GmbH,100.00%,https://berlinerstadtwerke.de/okostrom/strommix/,Am Köllnischen Park 1,10179,Berlin,https://berlinerstadtwerke.de,R,,TÜV Rheinland,
BeSte Stadtwerke GmbH,26.11%,https://www.beste-stadtwerke.de/Produkte/Strom/,Im Altenhagen 1,32839,Steinheim,https://www.beste-stadtwerke.de,A,,,
BEV Bayerische Energieversorgungsgesellschaft mbH,0.00%,https://www.bev-energie.com/stromkennzeichnung/,,,,,A,,,
BEW Bergische Energie- und Wasser-GmbH,5.94%,https://www.bergische-energie.de/fileadmin/user_upload/Dokumente/Urkunden_u._Rechtliches/Stromkennzeichnung_2017_Lokalstrom_Option_natur_01.pdf,Sonnenweg 30,51688,Wipperfürth,https://www.bergische-energie.de,A,,,
BIGGE ENERGIE GmbH & Co. KG,3.82%,https://www.bigge-energie.de/fileadmin/user_upload/pagetree_root/Privatkunden/Produkte_Leistungen/01_Strom/Allgemein/Kennzeichnung_Stromlieferung_2018.pdf,In der Stesse 14,57439,Attendorn,https://www.bigge-energie.de,A,,,
Billig? Will ich! - eine Marke der Stadtwerke Augsburg Energie GmbH,0.00%,https://www.billig-will-ich.de/,,,,,A,,,
Blomberger Versorgungsbetriebe GmbH,30.51%,https://www.bvb-blomberg.de/strom/tarif_2018.php,Nederlandstraße 15,32825,Blomberg,https://www.bvb-blomberg.de/,A,,,
Bocholter Energie- und Wasserversorgung GmbH,43.21%,https://www.bew-bocholt.de/privatkunden/strom/stromkennzeichnung.html,Kaiser-Wilhelm-Straße 1,46395,Bocholt,https://www.bew-bocholt.de,A,,,
Bodensee Energie - eine Marke der Stadtwerk am See GmbH & Co. KG,27.94%,https://www.bodensee-energie.de/pdf/stromkennzeichnung.pdf,,,,,A,,,
Bonus Strom GmbH,0.00%,https://www.bonusstrom.de/tipps-fragen/unser-energiemix/,,,,,A,,,
Braunschweiger Versorgungs-AG & Co. KG,4.92%,https://www.bs-energy.de/fileadmin/BS_ENERGY/privatkunden/produkte/strom/Infoletter_Stromherkunft_BSEnergy_2018.pdf,Taubenstraße 7,38106,Braunschweig,https://www.bs-energy.de,A,,,
Bremer SolidarStrom,1,,Wielandstraße 15,28203,Bremen,https://bremer.solidarstrom.de,X,,?,"ökostrom+, Schönau"
Burgenland Energie GmbH,0.00%,http://www.burgenland-energie.de/unternehmen/veroeffentlichungspflichten,,,,,A,,,
Bürger Energie Genossenschaft Freisinger Land e.G.,0.00%,http://beg-fs.de/stromkennzeichnung-gemas-energiewirtschaftsgesetz/,,,,,A,,,
BürgerEnergie Solingen eG,0.00%,https://www.buergerenergie-solingen.de/,,,,,A,,,
Bürgerinitiative Umweltschutz e.V.,1,,Stephanusstr. 25,30449,Hannover ,http://www.oekostrompool.org,X,,Grüner Strom,gehört zur NATURSTROM AG
Bürgerwerke eG,100.00%,https://buergerwerke.de/strom-beziehen/unser-strom/oekostrom-aus-buergerhand/,,,,,X,,,
C. Ensinger GmbH & Co.KG,100.00%,http://www.c-ensinger.de/files/8.EWO_Stromkennzeichnung.pdf,Schießhüttestr. 12,73277,Owen,https://www.c-ensinger.de/,RC,,,
CB Energie GmbH,6.16%,https://cbenergie.de/stromkenng/,,,,,A,,,
Citiwerke - eine Marke der Thüga Energie GmbH,51.63%,https://citiwerke.com/fileadmin/dokumente/citistrom_kennzeichnung.pdf,,,,,A,,,
ComMetering GmbH,k.A.,,,,,,0,ComMetering bietet als Dienstleister den Messstellenbetrieb für Betreiber von Photovoltaik-Anlagen an.,,sind nicht in der Marktrolle des Lieferanten und auch nicht Vertragspartner für die Stromlieferung.
Cramer Mühle KG,0.00%,http://www.cramermuehle.de/index.html,,,,,A,,,
Crämer Schmäling GmbH,0.00%,https://www.avia-lippstadt.de/privatkunden/avia-strom.html#c2748,,,,,A,,,
DB Energie,28.39%,https://www.dbenergie.de/resource/blob/1345644/c5707c725a0831df0c3719356788ff33/allgemeines_stromkennzeichnung-data.pdf,,,,,A,,,
Dessauer Stromversorgung GmbH,2.66%,https://www.dvv-dessau.de/fileadmin/user_upload/Privatkunden/Strom/Docs/Strommix_2017__grafik.pdf,Albrechtstraße 48,6844,Dessau,https://www.dvv-dessau.de,A,,,
