Andere Liste,Firmenname,Kennzeichnung Link,Anmerkungen,Adresse,PLZ,Stadt,URL,RoWo-Kriterien,A,B,C,D,R,X,Eigene Anlagen/Anteile an Anlagen,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung
,123energie - Eine Marke der Pfalzwerke AG,https://www.123energie.de/service/462.php,,Kurfürstenstraße 29,67061,Ludwigshafen,https://www.123energie.de,A,X,,X,,,,,OKPower,,
,17er Oberlandenergie GmbH,https://17er.com/die-17er/service/stromkennzeichnung/,nicht vorhanden,Viehmarktplatz 1,82418,Murnau am Staffelsee,https://17er.com,A,X,,,,,,,,,
,24/7 Energie und Kommunikation GmbH,https://www.elissa.de/produkte-elissa/elissa-strom.html,nicht aktuell,Meeboldstraße 1,89522,Heidenheim,https://www.stadtwerke-heidenheim.de,A,X,Stadtwerke,,,,,,,x,
,4hundred GmbH,https://www.4hundred.com/stromkennzeichnung/,,Herzogspitalstr. 24,80331,München,https://www.4hundred.com,XX,,,,,,,,,TÜV SÜD,In Zukunft soll es bei uns auch Biogas geben
,Abens-Donau Energie GmbH,https://www.abens-donau-energie.de/strom-fuer-privatkunden/,,,,,,A,X,,,,,,,,,
,Abita Energie Otterberg GmbH,https://www.abita-energie.de/fileadmin/dokumente/Kundeninfo/pdf/Energietraegermix_2017_de.pdf,,Bismarckstrasse 14,67655,Kaiserslautern,https://www.abita-energie.de,A,X,Gehört zu den Stadtwerke Kaiserslautern- vertreibt EnergiemiX mit Kohe- und Atomstrom (https://www.swk-kl.de/de/geschaeftskunden/produkte-leistungen/strom/energietraegermiX.html),,,,,,,,
,Agger Energie GmbH,https://www.aggerenergie.de/_Resources/Persistent/b4b78ce18fabca63b979877f74ee3edc6653efa8/Kennzeichnung%20der%20Stromlieferungen%202017.pdf,,Alexander-Fleming-Str. 2,51643,Gummersbach,https://www.aggerenergie.de,A,X,,,,,,,,,
,Ahrtal-Werke GmbH,https://ahrtal-werke.de/service/rechtliches/stromkennzeichnung/,,Hauptstraße 116,53474,Bad Neuenahr-Ahrweiler,https://ahrtal-werke.de,A,X,?,,,,,,,x,
,Albstadtwerke GmbH,https://www.albstadtwerke.de/fileadmin/media/unserangebot/Strom/ASW_Stromkennzeichnung_2017_quer_291018.pdf,,Goethestraße 91,72461,Albstadt,https://www.albstadtwerke.de,A,X,,,,,,,,,
,Albwerk GmbH & Co. KG,https://www.albwerk.de/service/allgemeine-informationen/stromkennzeichnung/,,Eybstr. 98-100,73312,Geislingen an der Steige,https://www.albwerk.de,A,X,,,,,,,,,
,Allgäuer Kraftwerke GmbH,https://www.allgaeukraft.de/stromkennzeichnung.html,,Am Alten Bahnhof 10,87527,Sonthofen,https://www.allgaeukraft.de,A,X,,,,,,,,,
,Allgäuer Überlandwerk GmbH,https://www.auew.de/privatkunden/kontakt-service/gesetzgebung/stromkennzeichnung/,,Illerstraße 18,87435,Kempten,https://www.auew.de,A,X,,,,,,,,,
,Ammer-Loisach Energie GmbH,https://www.ammer-loisach-energie.de/unser-strom/strom-fuer-privatkunden/,,Schnitzlergasse 5,82487,Oberammergau,https://www.ammer-loisach-energie.de/,A,X,,,,,,,,,
,Aschaffenburger Versorgungs-GmbH,http://www.stwab.de/Energie-Wasser/Strom/Stromkennzeichnung/,,Werkstraße 2,63739,Aschaffenburg,https://www.stwab.de,A,X,,,,,,,,,
True,ASEW Energie und Umwelt Service GmbH & Co. KG,,,,,,https://www.asew.de/asew,0,,,,,,,,,,sind nicht in der Marktrolle des Lieferanten und auch nicht Vertragspartner für die Stromlieferung.
,Audax Energie GmbH,https://www.audaxenergie.de/?sec=strom,nicht vorhanden,,,,,A,X,,,,,,,,,
True,AVIA AG,,,,,,,0,,AVIA Mineralöl-GmbH,,,,,,,,"Die Deutsche AVIA Mineralöl-GmbH, eine führende Tankstellenorganisation in Deutschland"
,AVU Aktiengesellschaft für Versorgungs-Unternehmen,https://www.avu.de/downloads/veroeffentlichungspflichten/energietraegermix-2017.pdf,,An der Drehbank 18,58285,Gevelsberg,https://www.avu.de,A,X,,,,,,,,,
,backnangstrom GmbH & Co. KG,https://www.backnangstrom.de/privatkunden/startseite/,nicht aktuell,,,,,A,X,,,,,,,,,
,badenova AG & Co. KG,https://www.badenova.de/web/Privatkunden/%C3%96kostrom/Informationen-und-Rechtliches/index.jsp,,Tullastraße 61,79108,Freiburg,https://www.badenova.de,A,X,,,,,,,,,
,Bad Honnef AG,https://www.bhag.de/stromkennzeichnung,,,,,,A,X,,,,,,,,,
,Bad Lauterberg Energie GmbH,https://www.badlauterberg-energie.de/de/Referenzierter-Inhalt/Referenzierter-Downloads/Stromkennzeichnung-2018.pdf,nicht aktuell,Bahnhofstraße 17-19,37431,Bad Lauterberg im Harz,https://www.badlauterberg-energie.de,A,X,,,,,,,,,
,BarMalGas GmbH,BarMalGas GmbH,(Ineon) nicht aktuell,,,,,A,X,,,,,,,,,
,Bauer Elektrounternehmen GmbH & Co.KG,https://www.bauer-stromkunden.de/kennzeichnung-der-stromlieferung.html,,,,,,A,X,,,,,,,,,
,BayWa Ökoenergie GmbH,https://www.baywa-oekoenergie.de/fileadmin/media/global/strommix/Strommix_2017_BayWa_Oekoenergie_Stand_Oktober_2018.jpg,,Arabellastraße 4,81925,München,https://www.baywa-oekoenergie.de,X,,,,,,,,"OK-Power Plus, EcoTopTen",,
,"BELKAW Bergische Licht-, Kraft- und Wasserwerke GmbH",https://www.belkaw.de/de/privatkundenportal/tarife/rechtliches/stromkennzeichnung/index.php,,Hermann-Löns-Str. 131-133,51469,Bergisch-Gladbach,https://www.belkaw.de,A,X,,,,,,,,,
,Benergie-Service GmbH,https://www.benergie.de/privatkunden/oekostrom,,Schlachte 45,28195,Bremen,https://www.benergie.de,RC,,,,,,,,TÜV Nord,,Genossenschaft mit ÖkoGas angebot
,BERGMANN - Elektrizität & Gas - eine Marke der LSW Energie GmbH & Co. KG,https://einfach-bergmann.de/downloads/LSW_Stromkennzeichnung_2018-11.pdf,,,,,,A,X,,,,,,,,,
,Berliner Stadtwerke GmbH,https://berlinerstadtwerke.de/okostrom/strommix/,,Am Köllnischen Park 1,10179,Berlin,https://berlinerstadtwerke.de,R,,,X,,,,X,TÜV Rheinland,,
,BeSte Stadtwerke GmbH,https://www.beste-stadtwerke.de/Produkte/Strom/,,Im Altenhagen 1,32839,Steinheim,https://www.beste-stadtwerke.de,A,X,,,,,,,,,
,BEV Bayerische Energieversorgungsgesellschaft mbH,https://www.bev-energie.com/stromkennzeichnung/,nicht aktuell,,,,,A,X,,,,,,,,,
,BEW Bergische Energie- und Wasser-GmbH,https://www.bergische-energie.de/fileadmin/user_upload/Dokumente/Urkunden_u._Rechtliches/Stromkennzeichnung_2017_Lokalstrom_Option_natur_01.pdf,    ,Sonnenweg 30,51688,Wipperfürth,https://www.bergische-energie.de,A,X,,,,,,,,,
,BIGGE ENERGIE GmbH & Co. KG,https://www.bigge-energie.de/fileadmin/user_upload/pagetree_root/Privatkunden/Produkte_Leistungen/01_Strom/Allgemein/Kennzeichnung_Stromlieferung_2018.pdf,,In der Stesse 14,57439,Attendorn,https://www.bigge-energie.de,A,X,,,,,,,,,
,Billig? Will ich! - eine Marke der Stadtwerke Augsburg Energie GmbH,https://www.billig-will-ich.de/,nicht vorhanden,,,,,A,X,,,,,,,,,
,Blomberger Versorgungsbetriebe GmbH,https://www.bvb-blomberg.de/strom/tarif_2018.php,,Nederlandstraße 15,32825,Blomberg,https://www.bvb-blomberg.de/,A,X,,,,,,,,,
,Bocholter Energie- und Wasserversorgung GmbH,https://www.bew-bocholt.de/privatkunden/strom/stromkennzeichnung.html,,Kaiser-Wilhelm-Straße 1,46395,Bocholt,https://www.bew-bocholt.de,A,X,,,,,,,,,
,Bodensee Energie - eine Marke der Stadtwerk am See GmbH & Co. KG,https://www.bodensee-energie.de/pdf/stromkennzeichnung.pdf,,,,,,A,X,,,,,,,,,
,Bonus Strom GmbH,https://www.bonusstrom.de/tipps-fragen/unser-energiemix/,nicht aktuell,,,,,A,X,,,,,,,,,
