ID;Kategorie;Teaser;Text;Link;Linktitel;Methoden;Methodenlink;Profil;Strommix
X;Überregionaler Ökostrom-Anbieter;Unabhängiger Ökostrom-Anbieter der seinen Strom zu 100% von Regenerativen-Energieanlagen bezieht welche nicht mit der Kohl-oder Atom Industrie verflochten sind und der zusätzlich in den Ausbau erneuerbarer Energien investiert.;Der Anbieter wurde von ROBIN WOOD geprüft* und auf Basis unserer Kriterien als empfehlenswert eingestuft. Für Detaillierte Informationen siehe;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;*Eine genaue Überprüfung des Anbieters sowie der Erzeugungsanlagen von denen der Anbieter 2018 Strom bezogen hat wurde Ende 2019 mittels Fragebogen durchgeführt. Rechercheergebnisse beruhen in erster Linie auf den Informationen der Anbieter;;True;
R;Regionaler Ökostrom-Anbieter;Regionaler Strom-Anbieter der zu 100% Ökostrom vertreibt, keine Verflechtungen mit Unternehmen der Kohl- und Atomindustrie aufweist und einen zusätzlichen Beitrag zum Ausbau erneuerbarer Energien leistet*.;Der Anbieter wurde von ROBIN WOOD nicht ausführlich geprüft und daher auch nicht bewertet. Inzwischen gibt es einige regionale Anbieter mit sehr guten Ökostromangeboten. Um euch ein eigenes Bild machen zu können Informiert euch am besten direkt bei dem Anbieter. Interessante Fragen sind z.B.: Wie sieht der gesamte Strommix aus? Woher wird der Strom bezogen? Gibt es Lieferverträge mit Erzeugeranlagen? Wenn ja, wem gehöre diese Anlagen? Wird Strom aus eigenen Anlagen eingespeist?;;Was macht einen guten Stromanbieter aus?;*Recherche Ergebnisse beruhen ausschließlich auf den, über die Homepage des Anbieters verfügbaren Informationen (Stand Ende 2019). Eine genaue Überprüfung des Anbieters hat nicht stattgefunden);;False;
RC;Regionaler Ökostrom-Anbieter;Regionaler Strom-Anbieter der zu 100% Ökostrom vertreibt und keine Verflechtungen mit Unternehmen der Kohl- und Atomindustrie aufweist*.;Der Anbieter wurde von ROBIN WOOD nicht ausführlich geprüft und daher auch nicht bewertet. Inzwischen gibt es einige regionale Anbieter mit sehr guten Ökostromangeboten. Um euch ein eigenes Bild machen zu können Informiert euch am besten direkt bei dem Anbieter. Interessante Fragen sind z.B.: Wie sieht der gesamte Strommix aus? Woher wird der Strom bezogen? Gibt es Lieferverträge mit Erzeugeranlagen? Wenn ja, wem gehöre diese Anlagen? Wird Strom aus eigenen Anlagen eingespeist?;;Was macht einen guten Stromanbieter aus?;*Recherche Ergebnisse beruhen ausschließlich auf den, über die Homepage des Anbieters verfügbaren Informationen (Stand Ende 2019). Eine genaue Überprüfung des Anbieters hat nicht stattgefunden);;False;
XX;Überregionaler Ökostrom-Anbieter;Kein klassischer Ökostromanbieter / Anbieter mit alternativem Konzept der seinen Strom zu 100% von Regenerativen-Energieanlagen bezieht*;Über das Unternehmen kann Ökostrom bezogen werden, dabei werden neu Konzepte erprobt (z.B. Direktvermarktung). Für Detaillierte Informationen siehe Link: Artikel.;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;*Recherche Ergebnisse beruhen ausschließlich auf den, über die Homepage des Anbieters verfügbaren Informationen (Stand Ende 2019). Eine genaue Überprüfung des Anbieters hat nicht stattgefunden);;False;
Z;;Sonstiger Stromanbieter mit Ökostromtarif *;(Keine Bewertung über die ROBIN WOOD Kriterien);;;*Recherche Ergebnisse beruhen ausschließlich auf den, über die Homepage des Anbieters verfügbaren Informationen (Stand Ende 2019). Eine genaue Überprüfung des Anbieters hat nicht stattgefunden);;False
A;;Keine Empfehlung von ROBIN WOOD, da;der Anbieter ein oder mehrere Kriterien, die ROBIN WOOD an einen empfehlenswerten Stromanbieter stellt, nicht erfüllt*:### Der Anbieter hat zwar einen Ökostromtarif, handelt daneben aber auch Graustrom (Strom aus Kohle- und Atomenergie);;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;*Prüfung der Kriterien erfolgte in der der Reihenfolge der Kriterien 1-4. Angegeben ist nur das erste nicht erfüllt Kriterium. Recherche Ergebnisse beruhen ausschließlich auf den, über die Homepage des Anbieters verfügbaren Informationen (Stand Ende 2019). Eine genaue Überprüfung des Anbieters hat nicht stattgefunden.;;False;True
B;;Keine Empfehlung von ROBIN WOOD, da;der Anbieter ein oder mehrere Kriterien, die ROBIN WOOD an einen empfehlenswerten Stromanbieter stellt, nicht erfüllt*:### Der Anbieters ist mit einem Konzern, der Atom- oder Kohlekraftwerke betreibt oder mit Strom aus diesen Quellen handelt verflochten;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;*Prüfung der Kriterien erfolgte in der der Reihenfolge der Kriterien 1-4. Angegeben ist nur das erste nicht erfüllt Kriterium. Recherche Ergebnisse beruhen ausschließlich auf den, über die Homepage des Anbieters verfügbaren Informationen (Stand Ende 2019). Eine genaue Überprüfung des Anbieters hat nicht stattgefunden.;;False;False
C;;Keine Empfehlung von ROBIN WOOD, da;der Anbieter ein oder mehrere Kriterien, die ROBIN WOOD an einen empfehlenswerten Stromanbieter stellt, nicht erfüllt*:### Der Anbieter leistet keinen zusätzlichen Beitrag zu Förderung der Energiewende. Unter „Förderung“ wird der Bezug von Strom aus Neuanlagen und/oder die Einrichtung fester Investitionsprogramme (mind. 0,5ct/kWh) verstanden.;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;*Prüfung der Kriterien erfolgte in der der Reihenfolge der Kriterien 1-4. Angegeben ist nur das erste nicht erfüllt Kriterium. Recherche Ergebnisse beruhen ausschließlich auf den, über die Homepage des Anbieters verfügbaren Informationen (Stand Ende 2019). Eine genaue Überprüfung des Anbieters hat nicht stattgefunden.;;False;False
D;;Keine Empfehlung von ROBIN WOOD, da;der Anbieter ein oder mehrere Kriterien, die ROBIN WOOD an einen empfehlenswerten Stromanbieter stellt, nicht erfüllt*:### Der Anbieter bezieht Strom von Anlagen deren Besitzer und/oder Eigentümer auch Kohle- und Atomkraftwerke betreiben und/oder in solche Anlagen investiert. Anlagen Besitzer und/oder Eigentümer dürfen zu max. 25% Kohle- oder Atomkonzernen gehören.;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;*Prüfung der Kriterien erfolgte in der der Reihenfolge der Kriterien 1-4. Angegeben ist nur das erste nicht erfüllt Kriterium. Recherche Ergebnisse beruhen ausschließlich auf den, über die Homepage des Anbieters verfügbaren Informationen (Stand Ende 2019). Eine genaue Überprüfung des Anbieters hat nicht stattgefunden.;;False;False
baywa;Überregionaler Ökostrom-Anbieter;Ökostrom-Anbieter der seinen Strom zu 100% von Regenerativen-Energieanlagen bezieht und der zusätzlich in den Ausbau erneuerbarer Energien investiert.;Der Anbieter wurde von ROBIN WOOD im Hinblick auf die von uns aufgestellten Kriterien geprüft* und als nicht empfehlenswert eingestuft.;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;*Eine genaue Überprüfung des Anbieters sowie der Erzeugungsanlagen von denen der Anbieter seinen Strom bezieht wurde Ende 2019 mittels Fragebogen durchgeführt. Rechercheergebnisse beruhen in erster Linie auf den Informationen der Anbieter.;;False;False
enspire;Überregionaler Ökostrom-Anbieter;Unabhängiger Ökostrom-Anbieter der seinen Strom zu 100% von Regenerativen-Energieanlagen bezieht und der zusätzlich in den Ausbau erneuerbarer Energien investiert.;Der Anbieter wurde von ROBIN WOOD im Hinblick auf die von uns aufgestellten Kriterien geprüft* und als nicht empfehlenswert eingestuft.;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;*Eine genaue Überprüfung des Anbieters sowie der Erzeugungsanlagen von denen der Anbieter seinen Strom bezieht wurde Ende 2019 mittels Fragebogen durchgeführt. Rechercheergebnisse beruhen in erster Linie auf den Informationen der Anbieter.;;False;False
lichtblick;Überregionaler Ökostrom-Anbieter;Ökostrom-Anbieter der seinen Strom zu 100% von Regenerativen-Energieanlagen bezieht welche nicht mit der Kohl-oder Atom Industrie verflochten sind;Der Anbieter wurde von ROBIN WOOD im Hinblick auf die von uns aufgestellten Kriterien geprüft* und als nicht empfehlenswert eingestuft.;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;*Eine genaue Überprüfung des Anbieters sowie der Erzeugungsanlagen von denen der Anbieter seinen Strom bezieht wurde Ende 2019 mittels Fragebogen durchgeführt. Rechercheergebnisse beruhen in erster Linie auf den Informationen der Anbieter.;;False;False
prokon;Überregionaler Ökostrom-Anbieter;Unabhängiger Ökostrom-Anbieter der zusätzlich in den Ausbau erneuerbarer Energien investiert.;Der Anbieter wurde von ROBIN WOOD im Hinblick auf die von uns aufgestellten Kriterien geprüft* und als nicht empfehlenswert eingestuft.;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;*Eine genaue Überprüfung des Anbieters sowie der Erzeugungsanlagen von denen der Anbieter seinen Strom bezieht wurde Ende 2019 mittels Fragebogen durchgeführt. Rechercheergebnisse beruhen in erster Linie auf den Informationen der Anbieter.;;False;False
proengeno;Überregionaler Ökostrom-Anbieter;Keine Empfehlung von ROBIN WOOD, da;der Anbieter zwar alle Kriterien, die ROBIN WOOD an einen empfehlenswerten Stromanbieter stellt, erfüllt*, aber nicht auf Anfragen oder den Fragebogen reagiert hat.;;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;ROBIN WOOD Kriterien für einen empfehlenswerten Ökostromanbieter;*Prüfung der Kriterien erfolgte in der der Reihenfolge der Kriterien 1-4. Angegeben ist nur das erste nicht erfüllt Kriterium. Recherche Ergebnisse beruhen ausschließlich auf den, über die Homepage des Anbieters verfügbaren Informationen (Stand Ende 2019). Eine genaue Überprüfung des Anbieters hat nicht stattgefunden.;;;False;False
