Anbieter,Anlagen Name,Technologie,Technologie einfach,Anlagenkennzeichnung BNetzA,Inbetriebnahme,Land,Standort,Bundesland,Eigentümer (Struktur),Betreiber,"Instalierte Leistung (Kw) (Höchstleistung)",Bezogene Strommenge,Einheit,Anlage EEG gefördert?
Naturstrom,Egglfing,Laufwasserkraftwerk,Wasser,,1905.0,Deutschland,,Bayern,VERBUND AG,Grenzkraftwerke GmbH,84000.0,321685.0,MW,
Naturstrom,Ering,Laufwasserkraftwerk,Wasser,,1942.0,Deutschland,,Bayern,"VERBUND Hydro Power GmbH, Innwerk AG",Grenzkraftwerke GmbH,72500.0,35336.0,MW,
Naturstrom,Passau-Ingling,Laufwasserkraftwerk,Wasser,,1965.0,Deutschland,,Bayern,Österreichisch-Bayerische Kraftwerke AG,Österreichisch-Bayerische Kraftwerke AG,86400.0,47826.0,MW,
Naturstrom,Landesbergen Wasser,Laufwasserkraftwerk,Wasser,,1960.0,Deutschland,,Niedersachsen,Statkraft AS,Statkraft AS,9000.0,24993.0,MW,
Naturstrom,Langwedel,Laufwasserkraftwerk,Wasser,,1958.0,Deutschland,,Niedersachsen,Statkraft AS,Statkraft AS,10600.0,36852.0,MW,
Naturstrom,Nußdorf,Laufwasserkraftwerk,Wasser,,1982.0,Deutschland,,Bayern,"Österreichisch-Bayerische Kraftwerke AG, Innwerk AG","Österreichisch-Bayerische Kraftwerke AG, Innwerk AG",48000.0,39462.0,MW,
Naturstrom,Perach,Laufwasserkraftwerk,Wasser,,1977.0,Deutschland,,Bayern,VERBUND Innkraftwerke GmbH,VERBUND Innkraftwerke GmbH,19400.0,20226.0,MW,
Naturstrom,Stammham,Laufwasserkraftwerk,Wasser,,1955.0,Deutschland,,Bayern,VERBUND Innkraftwerke GmbH,VERBUND Innkraftwerke GmbH,23200.0,11337.0,MW,
Naturstrom,Wasserkraft Quinckeweg,Speicher-Wasserkraftwerk,Wasser,,1910.0,Deutschland,,Nordrhein-Westfalen,Privatperson,Privatperson,250.0,286.0,MW,
Naturstrom,Windpark Stöttener Berg,Onshore-Windkraftwerk,Wind,,1905.0,Deutschland,,Baden-Württemberg,Windpark Stöttener Berg GmbH & Co. KG,Windpark Stöttener Berg GmbH & Co. KG,2700.0,261.0,MW,
Naturstrom,WP Herzebrock,Onshore-Windkraftwerk,Wind,,2017.0,Deutschland,,Nordrhein-Westfalen,Windpark Möhler GmbH & Co. KG,Windpark Möhler GmbH & Co. KG,2400.0,1531.0,MW,
Naturstrom,WP Herzebrock,Windenergieanlagen,Wind,,2017.0,Deutschland,,Nordrhein-Westfalen,Windpark Möhler GmbH & Co. KG,Windpark Möhler GmbH & Co. KG,2400.0,500.0,MW,
Naturstrom,Langwedel,Laufwasserkraftwerk,Wasser,,1958.0,Deutschland,,Niedersachsen,Statkraft AS,Statkraft AS,10600.0,604.0,MW,
Naturstrom,Nußdorf,Laufwasserkraftwerk,Wasser,,1982.0,Deutschland,,Bayern,"Österreichisch-Bayerische Kraftwerke AG, Innwerk AG","Österreichisch-Bayerische Kraftwerke AG, Innwerk AG",48000.0,26793.0,MW,
Naturstrom,Passau-Ingling,Laufwasserkraftwerk,Wasser,,1965.0,Deutschland,,Bayern,Österreichisch-Bayerische Kraftwerke AG,Österreichisch-Bayerische Kraftwerke AG,86400.0,36819.0,MW,
Naturstrom,Wehrmaschine Rottau,Laufwasserkraftwerk,Wasser,,1979.0,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,768.0,137.0,MW,
Naturstrom,Wehrmaschine St. Martin (KW Rosegg),Laufwasserkraftwerk,Wasser,,1973.0,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,947.0,471.0,MW,
Naturstrom,Niklai 1&2,Laufwasserkraftwerk,Wasser,,1959.0,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,1635.0,668.0,MW,
Naturstrom,Restwassermaschine KW Garsten,Laufwasserkraftwerk,Wasser,,1967.0,Österreich,,,Ennskraftwerke AG,Ennskraftwerke AG,1700.0,263.0,MW,
Naturstrom,Gunggl,Laufwasserkraftwerk,Wasser,,1992.0,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,3960.0,9.0,MW,
Naturstrom,Leoben,Laufwasserkraftwerk,Wasser,,2005.0,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,9900.0,516.0,MW,
Naturstrom,Paternion (AHP) 1,Laufwasserkraftwerk,Wasser,,1987.0,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,11750.0,6896.0,MW,
Naturstrom,Kellerberg (AHP) 1,Laufwasserkraftwerk,Wasser,,1985.0,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,12300.0,440.0,MW,
